Experiment: vgg11_relu_opt_adam_bs64_init_kaiming
Epoch 1	Loss: 1.654340	Accuracy: 48.25
Epoch 2	Loss: 1.056917	Accuracy: 64.14
Epoch 3	Loss: 0.778142	Accuracy: 70.47
Epoch 4	Loss: 0.581711	Accuracy: 71.82
Epoch 5	Loss: 0.429649	Accuracy: 73.50
Epoch 6	Loss: 0.303578	Accuracy: 75.41
Epoch 7	Loss: 0.229823	Accuracy: 72.41
Epoch 8	Loss: 0.180610	Accuracy: 72.77
Epoch 9	Loss: 0.149475	Accuracy: 75.01
Epoch 10	Loss: 0.121962	Accuracy: 76.29
Epoch 11	Loss: 0.110749	Accuracy: 75.41
Epoch 12	Loss: 0.097281	Accuracy: 75.67
Epoch 13	Loss: 0.096151	Accuracy: 75.28
Epoch 14	Loss: 0.084900	Accuracy: 75.37
Epoch 15	Loss: 0.088617	Accuracy: 75.68
Epoch 16	Loss: 0.079648	Accuracy: 74.56
Epoch 17	Loss: 0.069435	Accuracy: 74.73
Epoch 18	Loss: 0.073267	Accuracy: 75.66
Epoch 19	Loss: 0.073618	Accuracy: 75.88
Epoch 20	Loss: 0.069011	Accuracy: 75.69
Epoch 21	Loss: 0.066421	Accuracy: 74.51
Epoch 22	Loss: 0.062330	Accuracy: 76.08
Epoch 23	Loss: 0.055404	Accuracy: 75.02
Epoch 24	Loss: 0.064593	Accuracy: 77.21
Epoch 25	Loss: 0.056324	Accuracy: 75.70
Epoch 26	Loss: 0.054283	Accuracy: 76.70
Epoch 27	Loss: 0.059746	Accuracy: 75.81
Epoch 28	Loss: 0.055802	Accuracy: 75.14
Epoch 29	Loss: 0.051678	Accuracy: 75.15
Epoch 30	Loss: 0.051551	Accuracy: 75.59
Epoch 31	Loss: 0.052773	Accuracy: 75.49
Epoch 32	Loss: 0.053568	Accuracy: 75.75
Epoch 33	Loss: 0.049107	Accuracy: 76.72
Epoch 34	Loss: 0.049523	Accuracy: 75.67
Epoch 35	Loss: 0.054939	Accuracy: 76.39
Epoch 36	Loss: 0.046167	Accuracy: 76.32
Epoch 37	Loss: 0.043690	Accuracy: 76.40
Epoch 38	Loss: 0.044960	Accuracy: 76.36
Epoch 39	Loss: 0.037908	Accuracy: 76.51
Epoch 40	Loss: 0.052003	Accuracy: 76.16
Epoch 41	Loss: 0.045701	Accuracy: 77.07
Epoch 42	Loss: 0.040277	Accuracy: 76.20
Epoch 43	Loss: 0.041147	Accuracy: 72.08
Epoch 44	Loss: 0.046678	Accuracy: 74.88
Epoch 45	Loss: 0.047907	Accuracy: 76.14
Epoch 46	Loss: 0.045688	Accuracy: 76.87
Epoch 47	Loss: 0.041281	Accuracy: 74.75
Epoch 48	Loss: 0.033797	Accuracy: 75.92
Epoch 49	Loss: 0.036573	Accuracy: 76.85
Epoch 50	Loss: 0.049469	Accuracy: 76.96
Epoch 51	Loss: 0.031478	Accuracy: 75.46
Epoch 52	Loss: 0.061746	Accuracy: 77.04
Epoch 53	Loss: 0.033044	Accuracy: 77.35
Epoch 54	Loss: 0.024189	Accuracy: 76.94
Epoch 55	Loss: 0.048527	Accuracy: 75.98
Epoch 56	Loss: 0.030935	Accuracy: 77.55
Epoch 57	Loss: 0.034514	Accuracy: 77.34
Epoch 58	Loss: 0.035535	Accuracy: 75.78
Epoch 59	Loss: 0.042007	Accuracy: 77.28
Epoch 60	Loss: 0.031189	Accuracy: 76.88
Epoch 61	Loss: 0.036719	Accuracy: 77.82
Epoch 62	Loss: 0.038505	Accuracy: 75.99
Epoch 63	Loss: 0.036044	Accuracy: 77.38
Epoch 64	Loss: 0.033157	Accuracy: 76.89
