Experiment: vgg11_bn_relu_opt_adam_bs64_init_kaiming
Epoch 1	Loss: 1.591933	Accuracy: 57.38
Epoch 2	Loss: 1.031497	Accuracy: 65.75
Epoch 3	Loss: 0.812312	Accuracy: 70.82
Epoch 4	Loss: 0.664189	Accuracy: 76.02
Epoch 5	Loss: 0.556918	Accuracy: 73.78
Epoch 6	Loss: 0.461816	Accuracy: 71.92
Epoch 7	Loss: 0.389015	Accuracy: 68.64
Epoch 8	Loss: 0.331983	Accuracy: 75.65
Epoch 9	Loss: 0.281903	Accuracy: 74.91
Epoch 10	Loss: 0.233383	Accuracy: 70.85
Epoch 11	Loss: 0.223240	Accuracy: 77.29
Epoch 12	Loss: 0.179457	Accuracy: 80.33
Epoch 13	Loss: 0.153012	Accuracy: 79.90
Epoch 14	Loss: 0.152367	Accuracy: 66.55
Epoch 15	Loss: 0.131155	Accuracy: 79.72
Epoch 16	Loss: 0.126432	Accuracy: 78.34
Epoch 17	Loss: 0.138025	Accuracy: 79.02
Epoch 18	Loss: 0.093254	Accuracy: 79.44
Epoch 19	Loss: 0.122275	Accuracy: 78.21
Epoch 20	Loss: 0.099151	Accuracy: 74.78
Epoch 21	Loss: 0.086295	Accuracy: 80.68
Epoch 22	Loss: 0.087686	Accuracy: 63.84
Epoch 23	Loss: 0.125666	Accuracy: 77.62
Epoch 24	Loss: 0.073323	Accuracy: 81.33
Epoch 25	Loss: 0.071111	Accuracy: 79.15
Epoch 26	Loss: 0.102370	Accuracy: 79.37
Epoch 27	Loss: 0.069296	Accuracy: 81.55
Epoch 28	Loss: 0.060802	Accuracy: 80.30
Epoch 29	Loss: 0.097497	Accuracy: 80.82
Epoch 30	Loss: 0.080061	Accuracy: 76.44
Epoch 31	Loss: 0.073169	Accuracy: 80.62
Epoch 32	Loss: 0.054972	Accuracy: 81.41
Epoch 33	Loss: 0.072215	Accuracy: 77.67
Epoch 34	Loss: 0.075269	Accuracy: 76.69
Epoch 35	Loss: 0.060261	Accuracy: 82.00
Epoch 36	Loss: 0.053834	Accuracy: 80.31
Epoch 37	Loss: 0.060002	Accuracy: 78.66
Epoch 38	Loss: 0.072085	Accuracy: 81.68
Epoch 39	Loss: 0.053550	Accuracy: 73.63
Epoch 40	Loss: 0.049550	Accuracy: 82.09
Epoch 41	Loss: 0.057119	Accuracy: 76.91
Epoch 42	Loss: 0.083190	Accuracy: 82.04
Epoch 43	Loss: 0.034908	Accuracy: 80.53
Epoch 44	Loss: 0.036376	Accuracy: 81.83
Epoch 45	Loss: 0.046508	Accuracy: 70.80
Epoch 46	Loss: 0.097229	Accuracy: 81.59
Epoch 47	Loss: 0.034452	Accuracy: 74.25
Epoch 48	Loss: 0.039509	Accuracy: 71.23
Epoch 49	Loss: 0.082331	Accuracy: 81.83
Epoch 50	Loss: 0.034669	Accuracy: 82.07
Epoch 51	Loss: 0.026390	Accuracy: 81.73
Epoch 52	Loss: 0.055489	Accuracy: 79.92
Epoch 53	Loss: 0.061968	Accuracy: 79.66
Epoch 54	Loss: 0.055125	Accuracy: 82.34
Epoch 55	Loss: 0.067079	Accuracy: 81.84
Epoch 56	Loss: 0.025407	Accuracy: 80.41
Epoch 57	Loss: 0.067301	Accuracy: 81.35
Epoch 58	Loss: 0.031206	Accuracy: 82.22
Epoch 59	Loss: 0.039105	Accuracy: 82.73
Epoch 60	Loss: 0.093447	Accuracy: 77.72
Epoch 61	Loss: 0.042640	Accuracy: 82.48
Epoch 62	Loss: 0.017556	Accuracy: 79.58
Epoch 63	Loss: 0.045928	Accuracy: 81.82
Epoch 64	Loss: 0.058844	Accuracy: 82.79
Epoch 65	Loss: 0.022406	Accuracy: 82.67
Epoch 66	Loss: 0.046638	Accuracy: 80.46
Epoch 67	Loss: 0.022434	Accuracy: 82.80
Epoch 68	Loss: 0.023922	Accuracy: 82.35
Epoch 69	Loss: 0.029424	Accuracy: 81.77
Epoch 70	Loss: 0.118622	Accuracy: 81.89
Epoch 71	Loss: 0.042154	Accuracy: 82.25
Epoch 72	Loss: 0.024134	Accuracy: 81.12
Epoch 73	Loss: 0.022661	Accuracy: 82.18
Epoch 74	Loss: 0.021313	Accuracy: 82.50
Epoch 75	Loss: 0.026923	Accuracy: 82.62
Epoch 76	Loss: 0.132487	Accuracy: 81.62
Epoch 77	Loss: 0.019409	Accuracy: 82.95
Epoch 78	Loss: 0.016411	Accuracy: 82.99
Epoch 79	Loss: 0.017854	Accuracy: 80.37
Epoch 80	Loss: 0.055085	Accuracy: 81.55
Epoch 81	Loss: 0.086706	Accuracy: 82.20
Epoch 82	Loss: 0.021231	Accuracy: 82.31
Epoch 83	Loss: 0.012873	Accuracy: 82.22
Epoch 84	Loss: 0.017615	Accuracy: 82.47
Epoch 85	Loss: 0.024874	Accuracy: 82.72
Epoch 86	Loss: 0.059352	Accuracy: 75.94
Epoch 87	Loss: 0.079177	Accuracy: 82.96
Epoch 88	Loss: 0.012922	Accuracy: 82.84
Epoch 89	Loss: 0.015534	Accuracy: 82.59
Epoch 90	Loss: 0.053684	Accuracy: 78.96
Epoch 91	Loss: 0.032696	Accuracy: 82.91
Epoch 92	Loss: 0.012057	Accuracy: 82.20
Epoch 93	Loss: 0.018975	Accuracy: 81.80
Epoch 94	Loss: 0.022848	Accuracy: 81.43
Epoch 95	Loss: 0.068174	Accuracy: 82.69
Epoch 96	Loss: 0.013658	Accuracy: 82.75
Epoch 97	Loss: 0.013638	Accuracy: 82.45
Epoch 98	Loss: 0.023347	Accuracy: 82.57
Epoch 99	Loss: 0.027969	Accuracy: 80.70
Epoch 100	Loss: 0.040738	Accuracy: 81.60
