Experiment: vgg11_leaky_relu_opt_adam_bs64_init_kaiming
Epoch 1	Loss: 1.611142	Accuracy: 49.65
Epoch 2	Loss: 1.015665	Accuracy: 65.25
Epoch 3	Loss: 0.749880	Accuracy: 72.47
Epoch 4	Loss: 0.553340	Accuracy: 71.75
Epoch 5	Loss: 0.397282	Accuracy: 71.78
Epoch 6	Loss: 0.282292	Accuracy: 73.76
Epoch 7	Loss: 0.211667	Accuracy: 75.16
Epoch 8	Loss: 0.158592	Accuracy: 74.21
Epoch 9	Loss: 0.134206	Accuracy: 75.39
Epoch 10	Loss: 0.114401	Accuracy: 73.49
Epoch 11	Loss: 0.107139	Accuracy: 73.55
Epoch 12	Loss: 0.091033	Accuracy: 74.24
Epoch 13	Loss: 0.090563	Accuracy: 75.73
Epoch 14	Loss: 0.080493	Accuracy: 76.34
Epoch 15	Loss: 0.072447	Accuracy: 74.99
Epoch 16	Loss: 0.092126	Accuracy: 75.32
Epoch 17	Loss: 0.078330	Accuracy: 75.80
Epoch 18	Loss: 0.079120	Accuracy: 76.70
Epoch 19	Loss: 0.067178	Accuracy: 77.02
Epoch 20	Loss: 0.067586	Accuracy: 76.12
Epoch 21	Loss: 0.054104	Accuracy: 76.44
Epoch 22	Loss: 0.063775	Accuracy: 76.47
Epoch 23	Loss: 0.155761	Accuracy: 76.93
Epoch 24	Loss: 0.076806	Accuracy: 77.36
Epoch 25	Loss: 0.035346	Accuracy: 74.45
Epoch 26	Loss: 0.047326	Accuracy: 76.37
Epoch 27	Loss: 0.142086	Accuracy: 76.88
Epoch 28	Loss: 0.056592	Accuracy: 73.77
Epoch 29	Loss: 0.075163	Accuracy: 75.81
Epoch 30	Loss: 0.036530	Accuracy: 76.60
Epoch 31	Loss: 0.039612	Accuracy: 76.44
Epoch 32	Loss: 0.047202	Accuracy: 76.07
Epoch 33	Loss: 0.069674	Accuracy: 76.89
Epoch 34	Loss: 0.063578	Accuracy: 77.85
Epoch 35	Loss: 0.036122	Accuracy: 77.40
Epoch 36	Loss: 0.183475	Accuracy: 76.10
Epoch 37	Loss: 0.300634	Accuracy: 68.06
Epoch 38	Loss: 0.856656	Accuracy: 68.52
Epoch 39	Loss: 0.715616	Accuracy: 65.70
Epoch 40	Loss: 0.479790	Accuracy: 75.11
Epoch 41	Loss: 0.163145	Accuracy: 76.31
Epoch 42	Loss: 0.051560	Accuracy: 75.79
Epoch 43	Loss: 0.035318	Accuracy: 76.56
Epoch 44	Loss: 0.102300	Accuracy: 71.68
Epoch 45	Loss: 0.162369	Accuracy: 77.14
Epoch 46	Loss: 1.158966	Accuracy: 66.72
Epoch 47	Loss: 0.567244	Accuracy: 72.56
Epoch 48	Loss: 0.329044	Accuracy: 73.91
Epoch 49	Loss: 0.133711	Accuracy: 76.28
Epoch 50	Loss: 0.070876	Accuracy: 75.30
Epoch 51	Loss: 0.160721	Accuracy: 75.92
Epoch 52	Loss: 0.067148	Accuracy: 76.64
Epoch 53	Loss: 0.257907	Accuracy: 74.33
Epoch 54	Loss: 0.162060	Accuracy: 75.57
Epoch 55	Loss: 0.039172	Accuracy: 76.99
Epoch 56	Loss: 1.677989	Accuracy: 65.14
Epoch 57	Loss: 0.746419	Accuracy: 70.70
Epoch 58	Loss: 0.430095	Accuracy: 71.89
Epoch 59	Loss: 0.216892	Accuracy: 74.06
Epoch 60	Loss: 0.794294	Accuracy: 39.62
Epoch 61	Loss: 1.145818	Accuracy: 64.73
Epoch 62	Loss: 0.579119	Accuracy: 73.17
Epoch 63	Loss: 0.195773	Accuracy: 73.72
Epoch 64	Loss: 0.078599	Accuracy: 75.86
Epoch 65	Loss: 0.075374	Accuracy: 76.17
Epoch 66	Loss: 0.072230	Accuracy: 76.04
Epoch 67	Loss: 5.536306	Accuracy: 40.67
Epoch 68	Loss: 1.425014	Accuracy: 53.57
Epoch 69	Loss: 1.148515	Accuracy: 63.02
Epoch 70	Loss: 0.994389	Accuracy: 66.56
Epoch 71	Loss: 0.493958	Accuracy: 75.18
Epoch 72	Loss: 1.168235	Accuracy: 72.22
Epoch 73	Loss: 0.762522	Accuracy: 68.77
Epoch 74	Loss: 0.471907	Accuracy: 76.03
Epoch 75	Loss: 0.159433	Accuracy: 76.35
Epoch 76	Loss: 0.532172	Accuracy: 71.95
Epoch 77	Loss: 0.358952	Accuracy: 75.56
Epoch 78	Loss: 0.115418	Accuracy: 76.67
Epoch 79	Loss: 0.049382	Accuracy: 76.59
Epoch 80	Loss: 0.062188	Accuracy: 75.88
Epoch 81	Loss: 0.504278	Accuracy: 74.67
Epoch 82	Loss: 0.106990	Accuracy: 75.22
Epoch 83	Loss: 0.063258	Accuracy: 76.71
Epoch 84	Loss: 29.955383	Accuracy: 43.93
Epoch 85	Loss: 1.569916	Accuracy: 54.04
Epoch 86	Loss: 1.323052	Accuracy: 56.67
Epoch 87	Loss: 1.366324	Accuracy: 57.05
Epoch 88	Loss: 1.151548	Accuracy: 56.08
Epoch 89	Loss: 1.131248	Accuracy: 62.35
Epoch 90	Loss: 0.969262	Accuracy: 65.75
Epoch 91	Loss: 0.885126	Accuracy: 65.83
Epoch 92	Loss: 0.802561	Accuracy: 67.10
Epoch 93	Loss: 0.692237	Accuracy: 71.62
Epoch 94	Loss: 0.575560	Accuracy: 66.45
Epoch 95	Loss: 0.504679	Accuracy: 71.96
Epoch 96	Loss: 0.893412	Accuracy: 33.25
Epoch 97	Loss: 1.321080	Accuracy: 59.55
Epoch 98	Loss: 0.852308	Accuracy: 69.85
Epoch 99	Loss: 0.428888	Accuracy: 75.48
Epoch 100	Loss: 0.276036	Accuracy: 75.36
