Experiment: vgg11_leaky_relu_opt_sgd_bs64_init_kaiming
Epoch 1	Loss: 2.301339	Accuracy: 10.25
Epoch 2	Loss: 2.297052	Accuracy: 9.63
Epoch 3	Loss: 2.293623	Accuracy: 10.53
Epoch 4	Loss: 2.289948	Accuracy: 12.05
Epoch 5	Loss: 2.284712	Accuracy: 15.97
Epoch 6	Loss: 2.276620	Accuracy: 18.89
Epoch 7	Loss: 2.266884	Accuracy: 19.91
Epoch 8	Loss: 2.250376	Accuracy: 20.05
Epoch 9	Loss: 2.222537	Accuracy: 21.49
Epoch 10	Loss: 2.178042	Accuracy: 23.95
Epoch 11	Loss: 2.124278	Accuracy: 25.36
Epoch 12	Loss: 2.079983	Accuracy: 26.60
Epoch 13	Loss: 2.042681	Accuracy: 27.57
Epoch 14	Loss: 2.015661	Accuracy: 28.83
Epoch 15	Loss: 1.987626	Accuracy: 29.09
Epoch 16	Loss: 1.961087	Accuracy: 30.76
Epoch 17	Loss: 1.933825	Accuracy: 31.91
Epoch 18	Loss: 1.903620	Accuracy: 32.91
Epoch 19	Loss: 1.872066	Accuracy: 31.61
Epoch 20	Loss: 1.839390	Accuracy: 33.87
Epoch 21	Loss: 1.809212	Accuracy: 34.96
Epoch 22	Loss: 1.781658	Accuracy: 35.67
Epoch 23	Loss: 1.750068	Accuracy: 36.60
Epoch 24	Loss: 1.724541	Accuracy: 37.44
Epoch 25	Loss: 1.697777	Accuracy: 37.73
Epoch 26	Loss: 1.677672	Accuracy: 38.72
Epoch 27	Loss: 1.655682	Accuracy: 39.67
Epoch 28	Loss: 1.635514	Accuracy: 39.71
Epoch 29	Loss: 1.618879	Accuracy: 39.82
Epoch 30	Loss: 1.599886	Accuracy: 40.73
Epoch 31	Loss: 1.587890	Accuracy: 42.30
Epoch 32	Loss: 1.569329	Accuracy: 42.66
Epoch 33	Loss: 1.553059	Accuracy: 43.03
Epoch 34	Loss: 1.537578	Accuracy: 43.05
Epoch 35	Loss: 1.524648	Accuracy: 44.03
Epoch 36	Loss: 1.507446	Accuracy: 42.77
Epoch 37	Loss: 1.495103	Accuracy: 45.25
Epoch 38	Loss: 1.481690	Accuracy: 45.96
Epoch 39	Loss: 1.469813	Accuracy: 45.52
Epoch 40	Loss: 1.457985	Accuracy: 46.96
Epoch 41	Loss: 1.449107	Accuracy: 42.62
Epoch 42	Loss: 1.436738	Accuracy: 46.55
Epoch 43	Loss: 1.427002	Accuracy: 48.71
Epoch 44	Loss: 1.416538	Accuracy: 45.81
Epoch 45	Loss: 1.403097	Accuracy: 43.12
Epoch 46	Loss: 1.394563	Accuracy: 49.26
Epoch 47	Loss: 1.381105	Accuracy: 49.44
Epoch 48	Loss: 1.376360	Accuracy: 49.96
Epoch 49	Loss: 1.363880	Accuracy: 49.87
Epoch 50	Loss: 1.355807	Accuracy: 50.37
Epoch 51	Loss: 1.343553	Accuracy: 48.51
Epoch 52	Loss: 1.334220	Accuracy: 52.21
Epoch 53	Loss: 1.325496	Accuracy: 46.85
Epoch 54	Loss: 1.313993	Accuracy: 50.79
Epoch 55	Loss: 1.306323	Accuracy: 52.50
Epoch 56	Loss: 1.295097	Accuracy: 47.54
Epoch 57	Loss: 1.286312	Accuracy: 53.80
Epoch 58	Loss: 1.277299	Accuracy: 54.36
Epoch 59	Loss: 1.267468	Accuracy: 52.95
Epoch 60	Loss: 1.258112	Accuracy: 49.95
Epoch 61	Loss: 1.250430	Accuracy: 54.39
Epoch 62	Loss: 1.240351	Accuracy: 54.97
Epoch 63	Loss: 1.229538	Accuracy: 52.75
Epoch 64	Loss: 1.221999	Accuracy: 55.31
Epoch 65	Loss: 1.210675	Accuracy: 56.52
Epoch 66	Loss: 1.202265	Accuracy: 56.36
Epoch 67	Loss: 1.194236	Accuracy: 54.95
Epoch 68	Loss: 1.183703	Accuracy: 55.96
Epoch 69	Loss: 1.178808	Accuracy: 55.61
Epoch 70	Loss: 1.170443	Accuracy: 56.66
Epoch 71	Loss: 1.158096	Accuracy: 57.20
Epoch 72	Loss: 1.155182	Accuracy: 53.45
Epoch 73	Loss: 1.144879	Accuracy: 58.66
Epoch 74	Loss: 1.138081	Accuracy: 54.30
Epoch 75	Loss: 1.126658	Accuracy: 56.89
Epoch 76	Loss: 1.122863	Accuracy: 55.28
Epoch 77	Loss: 1.116269	Accuracy: 60.06
Epoch 78	Loss: 1.105669	Accuracy: 54.72
Epoch 79	Loss: 1.100609	Accuracy: 59.52
Epoch 80	Loss: 1.093041	Accuracy: 57.55
Epoch 81	Loss: 1.086411	Accuracy: 57.51
Epoch 82	Loss: 1.077352	Accuracy: 58.33
Epoch 83	Loss: 1.070358	Accuracy: 55.77
Epoch 84	Loss: 1.065056	Accuracy: 55.89
Epoch 85	Loss: 1.055653	Accuracy: 59.67
Epoch 86	Loss: 1.050613	Accuracy: 61.36
Epoch 87	Loss: 1.044372	Accuracy: 58.39
Epoch 88	Loss: 1.035291	Accuracy: 57.20
Epoch 89	Loss: 1.029143	Accuracy: 56.00
Epoch 90	Loss: 1.019614	Accuracy: 62.10
Epoch 91	Loss: 1.016242	Accuracy: 59.78
Epoch 92	Loss: 1.008121	Accuracy: 61.67
Epoch 93	Loss: 0.999615	Accuracy: 63.49
Epoch 94	Loss: 0.995179	Accuracy: 53.32
Epoch 95	Loss: 0.989811	Accuracy: 60.76
Epoch 96	Loss: 0.985300	Accuracy: 63.46
Epoch 97	Loss: 0.977418	Accuracy: 60.18
Epoch 98	Loss: 0.968302	Accuracy: 57.23
Epoch 99	Loss: 0.961657	Accuracy: 62.82
Epoch 100	Loss: 0.958104	Accuracy: 61.75
