Experiment: vgg11_leaky_relu_opt_adam_bs256_init_kaiming
Epoch 1	Loss: 1.934687	Accuracy: 34.47
Epoch 2	Loss: 1.367590	Accuracy: 50.67
Epoch 3	Loss: 1.029391	Accuracy: 62.89
Epoch 4	Loss: 0.799720	Accuracy: 67.22
Epoch 5	Loss: 0.602029	Accuracy: 69.01
Epoch 6	Loss: 0.415941	Accuracy: 69.55
Epoch 7	Loss: 0.293442	Accuracy: 68.86
Epoch 8	Loss: 0.199987	Accuracy: 68.77
Epoch 9	Loss: 0.144153	Accuracy: 69.72
Epoch 10	Loss: 0.116426	Accuracy: 69.29
Epoch 11	Loss: 0.097975	Accuracy: 69.42
Epoch 12	Loss: 0.078223	Accuracy: 71.49
Epoch 13	Loss: 0.069375	Accuracy: 70.05
Epoch 14	Loss: 0.062131	Accuracy: 72.31
Epoch 15	Loss: 0.055792	Accuracy: 70.47
Epoch 16	Loss: 0.056478	Accuracy: 70.82
Epoch 17	Loss: 0.050560	Accuracy: 72.24
Epoch 18	Loss: 0.049918	Accuracy: 72.00
Epoch 19	Loss: 0.043814	Accuracy: 71.60
Epoch 20	Loss: 0.044337	Accuracy: 72.47
Epoch 21	Loss: 0.043530	Accuracy: 72.80
Epoch 22	Loss: 0.042567	Accuracy: 71.73
Epoch 23	Loss: 0.043465	Accuracy: 70.98
Epoch 24	Loss: 0.036153	Accuracy: 71.73
Epoch 25	Loss: 0.042719	Accuracy: 72.79
Epoch 26	Loss: 0.036863	Accuracy: 71.96
Epoch 27	Loss: 0.038779	Accuracy: 72.09
Epoch 28	Loss: 0.039428	Accuracy: 72.04
Epoch 29	Loss: 0.035819	Accuracy: 72.97
Epoch 30	Loss: 0.036020	Accuracy: 73.14
Epoch 31	Loss: 0.032906	Accuracy: 71.28
Epoch 32	Loss: 0.034543	Accuracy: 70.32
Epoch 33	Loss: 0.040072	Accuracy: 71.93
Epoch 34	Loss: 0.035241	Accuracy: 73.05
Epoch 35	Loss: 0.031957	Accuracy: 72.83
Epoch 36	Loss: 0.030572	Accuracy: 73.46
Epoch 37	Loss: 0.032953	Accuracy: 72.44
Epoch 38	Loss: 0.033791	Accuracy: 73.31
Epoch 39	Loss: 0.028887	Accuracy: 73.11
Epoch 40	Loss: 0.027732	Accuracy: 72.88
Epoch 41	Loss: 0.028392	Accuracy: 72.83
Epoch 42	Loss: 0.031443	Accuracy: 73.17
Epoch 43	Loss: 0.031069	Accuracy: 72.71
Epoch 44	Loss: 0.031991	Accuracy: 73.63
Epoch 45	Loss: 0.025922	Accuracy: 73.98
Epoch 46	Loss: 0.025964	Accuracy: 72.69
Epoch 47	Loss: 0.027983	Accuracy: 73.49
Epoch 48	Loss: 0.026009	Accuracy: 73.18
Epoch 49	Loss: 0.034246	Accuracy: 72.73
Epoch 50	Loss: 0.021928	Accuracy: 73.80
Epoch 51	Loss: 0.022365	Accuracy: 73.18
Epoch 52	Loss: 0.028574	Accuracy: 73.42
Epoch 53	Loss: 0.024205	Accuracy: 73.53
Epoch 54	Loss: 0.026115	Accuracy: 73.07
Epoch 55	Loss: 0.022782	Accuracy: 73.14
Epoch 56	Loss: 0.019434	Accuracy: 73.71
Epoch 57	Loss: 0.026061	Accuracy: 73.47
Epoch 58	Loss: 0.028602	Accuracy: 73.04
Epoch 59	Loss: 0.016714	Accuracy: 73.95
Epoch 60	Loss: 0.024520	Accuracy: 74.37
Epoch 61	Loss: 0.022151	Accuracy: 74.10
Epoch 62	Loss: 0.021797	Accuracy: 73.64
Epoch 63	Loss: 0.020813	Accuracy: 73.16
Epoch 64	Loss: 0.020954	Accuracy: 74.11
Epoch 65	Loss: 0.026944	Accuracy: 74.69
Epoch 66	Loss: 0.019032	Accuracy: 73.65
Epoch 67	Loss: 0.018753	Accuracy: 73.95
