Experiment: vgg11_bn_leaky_relu_opt_adam_bs64_init_xavier
Epoch 1	Loss: 1.555079	Accuracy: 53.56
Epoch 2	Loss: 0.972246	Accuracy: 66.48
Epoch 3	Loss: 0.757381	Accuracy: 74.32
Epoch 4	Loss: 0.617744	Accuracy: 72.48
Epoch 5	Loss: 0.512810	Accuracy: 72.77
Epoch 6	Loss: 0.436400	Accuracy: 71.63
Epoch 7	Loss: 0.349605	Accuracy: 53.70
Epoch 8	Loss: 0.311784	Accuracy: 80.09
Epoch 9	Loss: 0.255150	Accuracy: 70.44
Epoch 10	Loss: 0.216389	Accuracy: 76.54
Epoch 11	Loss: 0.193109	Accuracy: 77.00
Epoch 12	Loss: 0.164030	Accuracy: 72.48
Epoch 13	Loss: 0.158130	Accuracy: 81.56
Epoch 14	Loss: 0.137913	Accuracy: 80.22
Epoch 15	Loss: 0.136159	Accuracy: 80.49
Epoch 16	Loss: 0.140700	Accuracy: 76.54
Epoch 17	Loss: 0.097410	Accuracy: 81.41
Epoch 18	Loss: 0.112946	Accuracy: 69.60
Epoch 19	Loss: 0.105325	Accuracy: 81.29
Epoch 20	Loss: 0.087159	Accuracy: 82.33
Epoch 21	Loss: 0.091702	Accuracy: 81.56
Epoch 22	Loss: 0.086471	Accuracy: 73.16
Epoch 23	Loss: 0.092664	Accuracy: 79.00
Epoch 24	Loss: 0.110418	Accuracy: 81.16
Epoch 25	Loss: 0.052425	Accuracy: 82.05
Epoch 26	Loss: 0.067570	Accuracy: 79.43
Epoch 27	Loss: 0.092533	Accuracy: 81.01
Epoch 28	Loss: 0.097110	Accuracy: 75.91
Epoch 29	Loss: 0.159005	Accuracy: 80.88
Epoch 30	Loss: 0.038535	Accuracy: 80.20
Epoch 31	Loss: 0.047673	Accuracy: 80.42
Epoch 32	Loss: 0.044528	Accuracy: 48.62
Epoch 33	Loss: 0.160533	Accuracy: 81.30
Epoch 34	Loss: 0.049262	Accuracy: 66.98
