Experiment: vgg11_leaky_relu_opt_adam_bs64_init_kaiming_no_dropout
Epoch 1	Loss: 1.588875	Accuracy: 48.00
Epoch 2	Loss: 1.016773	Accuracy: 65.52
Epoch 3	Loss: 0.742272	Accuracy: 73.25
Epoch 4	Loss: 0.542614	Accuracy: 73.22
Epoch 5	Loss: 0.376560	Accuracy: 65.92
Epoch 6	Loss: 0.259610	Accuracy: 73.34
Epoch 7	Loss: 0.186882	Accuracy: 73.30
Epoch 8	Loss: 0.146937	Accuracy: 75.44
Epoch 9	Loss: 0.112610	Accuracy: 74.53
Epoch 10	Loss: 0.101938	Accuracy: 75.04
Epoch 11	Loss: 0.090017	Accuracy: 75.27
Epoch 12	Loss: 0.083984	Accuracy: 75.62
Epoch 13	Loss: 0.076625	Accuracy: 74.00
Epoch 14	Loss: 0.071882	Accuracy: 74.78
Epoch 15	Loss: 0.072319	Accuracy: 75.18
Epoch 16	Loss: 0.062885	Accuracy: 75.79
Epoch 17	Loss: 0.067117	Accuracy: 75.30
Epoch 18	Loss: 0.073169	Accuracy: 75.47
Epoch 19	Loss: 0.050613	Accuracy: 75.94
Epoch 20	Loss: 0.049546	Accuracy: 77.06
Epoch 21	Loss: 0.065045	Accuracy: 75.78
Epoch 22	Loss: 0.052292	Accuracy: 76.83
Epoch 23	Loss: 0.043349	Accuracy: 77.17
Epoch 24	Loss: 0.041036	Accuracy: 74.94
Epoch 25	Loss: 0.045452	Accuracy: 76.94
Epoch 26	Loss: 0.072829	Accuracy: 76.30
Epoch 27	Loss: 0.050231	Accuracy: 76.24
Epoch 28	Loss: 0.039983	Accuracy: 77.51
Epoch 29	Loss: 0.052684	Accuracy: 76.75
Epoch 30	Loss: 0.033479	Accuracy: 77.49
Epoch 31	Loss: 0.056277	Accuracy: 74.00
Epoch 32	Loss: 0.039386	Accuracy: 77.85
Epoch 33	Loss: 0.031419	Accuracy: 77.03
Epoch 34	Loss: 0.032784	Accuracy: 76.56
Epoch 35	Loss: 0.032608	Accuracy: 77.45
Epoch 36	Loss: 0.035950	Accuracy: 76.88
Epoch 37	Loss: 0.035227	Accuracy: 77.46
Epoch 38	Loss: 0.033698	Accuracy: 77.20
Epoch 39	Loss: 0.033763	Accuracy: 77.81
Epoch 40	Loss: 0.088884	Accuracy: 76.49
Epoch 41	Loss: 0.029572	Accuracy: 77.63
Epoch 42	Loss: 0.021886	Accuracy: 77.39
Epoch 43	Loss: 0.029774	Accuracy: 76.95
Epoch 44	Loss: 0.034740	Accuracy: 77.33
Epoch 45	Loss: 0.028236	Accuracy: 77.80
Epoch 46	Loss: 0.030521	Accuracy: 76.98
Epoch 47	Loss: 0.032183	Accuracy: 77.15
Epoch 48	Loss: 0.031936	Accuracy: 73.87
Epoch 49	Loss: 0.028638	Accuracy: 77.12
Epoch 50	Loss: 0.029129	Accuracy: 75.69
Epoch 51	Loss: 0.034828	Accuracy: 77.37
Epoch 52	Loss: 0.025384	Accuracy: 77.88
Epoch 53	Loss: 0.133989	Accuracy: 77.36
Epoch 54	Loss: 0.068858	Accuracy: 77.84
Epoch 55	Loss: 0.040364	Accuracy: 77.76
Epoch 56	Loss: 0.025394	Accuracy: 51.40
